Название,Тип,Родитель ID,Стеллаж,Полка,Номер документа,Дата подписания,Расположение,Категория
"Выполнение работ по капитальному ремонту трубопровода ГВС и отопления от ТК-35 до ж.дома 27,30 мкр. Силикат по адресу: МО, г. Котельники, мкр. Силикат",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Реконструкция участка трубопровода отопления и ГВС от камеры №34 до камеры №32: МО, г. Котельники, мкр. Силикат",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
"Выполнение работ по капитальному ремонту кровли взу ковровый. МО, г. Котельники, мкр. Ковровый, стр.37",Документ,603d7964-6,А,1,,,Коробка 'Коробка 2А1' / Стеллаж А / Полка 1,
Коробка 3А1,Коробка,,А,1,,,Коробка 'Коробка 3А1' / Полка 1 / Стеллаж А,
"Раздел 5. Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения, перечень инженерно-технических мероприятий, содержание технологических решений. Подраздел 4. Отопление, вентиляция и кондиционирование воздуха, тепловые сети. Книга 2. Наружные сети теплоснабжения.",Документ,7f9986bd-b,А,1,,,Коробка 'Коробка 3А1' / Стеллаж А / Полка 1,
ЛОкальный сметный расчет на выполнение работ по промывке ливневой канализации промзоны Силикат с заменой люков колодцев и камер,Документ,7f9986bd-b,А,1,,,Коробка 'Коробка 3А1' / Стеллаж А / Полка 1,
"Выполнение работ по монтажу теплосети д32 от тк4 до здания взу для устройства автоматизированного итп, мкр. Силикат, Мо, г. Котельники",Документ,7f9986bd-b,А,1,,,Коробка 'Коробка 3А1' / Стеллаж А / Полка 1,
"Замена насосного оборудования в здании цтп-3, расположенного по адресу: МО, г. Котельники, мкр. Белая Дача, рядом с ж.д. 12",Документ,7f9986bd-b,А,1,,,Коробка 'Коробка 3А1' / Стеллаж А / Полка 1,
"Наружные инженерные сети теплоснабжения, хозяйственно-бытовой канализации и водоснабжения к жилому дому корпус 1, расположенного по адресу: г. Котельники, мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком.",Документ,7f9986bd-b,А,1,,,Коробка 'Коробка 3А1' / Стеллаж А / Полка 1,
"Выполнение работ по прокладке трубопроводов теплоснабжения в изоляции из ппу от тк-7 до цтп-1 по адресу: мкр. Силикат, г.о. Котельники, МО",Документ,7f9986bd-b,А,1,,,Коробка 'Коробка 3А1' / Стеллаж А / Полка 1,
"Акт о приемке выполненных работ, очистка приемных резервуаров кнс-1 и кнс-2 мкр. Белая Дача",Папка,7f9986bd-b,А,1,,,"Коробка 'Коробка 3А1' / Стеллаж А / Папка 'Акт о приемке выполненных работ, очистка приемных резервуаров кнс-1 и кнс-2 мкр. Белая Дача' / Полка 1",
"Реконструкция канализационной насосной станции по адресу: МО, г. Котельники, мкр. Белая Дача, ул. Центральная аллея, между домами №3 и №17",Папка,7f9986bd-b,А,1,,,"Коробка 'Коробка 3А1' / Стеллаж А / Папка 'Реконструкция канализационной насосной станции по адресу: МО, г. Котельники, мкр. Белая Дача, ул. Центральная аллея, между домами №3 и №17' / Полка 1",
"Реконструкция канализационной насосной станции по адресу: МО, г. Котельники, мкр. Белая Дача, ул. Центральная аллея, между домами №3 и №17",Папка,7f9986bd-b,А,1,,,"Коробка 'Коробка 3А1' / Стеллаж А / Папка 'Реконструкция канализационной насосной станции по адресу: МО, г. Котельники, мкр. Белая Дача, ул. Центральная аллея, между домами №3 и №17' / Полка 1",
"Акт приемки законченного объекта, г. Котельники, мкр. Белая Дача, ул. Центральная, между д.д. 3, 17",Папка,7f9986bd-b,А,1,,,"Коробка 'Коробка 3А1' / Стеллаж А / Папка 'Акт приемки законченного объекта, г. Котельники, мкр. Белая Дача, ул. Центральная, между д.д. 3, 17' / Полка 1",
Коробка 4А1,Коробка,,А,1,,,Коробка 'Коробка 4А1' / Полка 1 / Стеллаж А,
АвангардСтрой исх. №19 от 02 марта 2020г,Документ,77a9e4f0-9,А,1,,,Коробка 'Коробка 4А1' / Стеллаж А / Полка 1,
МонолитСтрой №75/07-20 от 02.07.2020г,Документ,77a9e4f0-9,А,1,,,Коробка 'Коробка 4А1' / Стеллаж А / Полка 1,
"Выписка из реестра членов саморегулируемой организации в составе единого реестра сведений о членах саморегулируемых организаций в области строительства, реконструкции, капитального ремонта, сноса объектов капитального строительства и их обязательствах, 05.10.2023",Документ,77a9e4f0-9,А,1,,,Коробка 'Коробка 4А1' / Стеллаж А / Полка 1,
"Капитальный ремонт системы горячего водоснабжения лежаки в подвале многоквартирного дома по адресу: МО, г. Котельники, мкр. Силикат, д. 10",Документ,77a9e4f0-9,А,1,,,Коробка 'Коробка 4А1' / Стеллаж А / Полка 1,
"Выполнение работ по аварийному ремонту участка канализационного коллектора ду400 мм проходящего в городском округе котельники московской области под дзержинским шоссе, в районе ул. новая, дом 14",Документ,77a9e4f0-9,А,1,,,Коробка 'Коробка 4А1' / Стеллаж А / Полка 1,
"Капитальный ремонт системы горячего водоснабжения лежаки в подвале многоквартирного дома по адресу: МО, г. Котельники, мкр. Силикат, д. 10",Документ,77a9e4f0-9,А,1,,,Коробка 'Коробка 4А1' / Стеллаж А / Полка 1,
капитальный ремонт участка трубопровода перегретой воды д250 от тк41 до ск2 мкр. Белая дача,Папка,77a9e4f0-9,А,1,,,Коробка 'Коробка 4А1' / Стеллаж А / Папка 'капитальный ремонт участка трубопровода перегретой воды д250 от тк41 до ск2 мкр. Белая дача' / Полка 1,
Исполнительная документация 2015-2016г,Папка,77a9e4f0-9,А,1,,,Коробка 'Коробка 4А1' / Стеллаж А / Папка 'Исполнительная документация 2015-2016г' / Полка 1,
Коробка 1А2,Коробка,,А,2,,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
"Вынос сетей отопления и ГВС из пятна застройки корп. 5, 6, 7, 8 мкр. Ковровый",Документ,97fe2511-8,А,,5772-5/6/7/8-21-ТС,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
"По объекту: Вынос сетей канализации из пятна застройки по адресу: г. Котельники, мкр. Ковровый, корп. 5,6,7,8.",Документ,97fe2511-8,А,,,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
"Жилая застройка с комплексом социальных объектов, расположенная по адресу: г. Котельники, мкр. Ковровый, д.1-5,24-29, ул. Новая, д.1-10.",Документ,97fe2511-8,А,,4715-6-18-НК2-СХ,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
"Жилой комплекс, корпус №9 и корпус №10 с пристроенной поликлиникой для взрослого населения на 100 посещений в смену, корпус №15 по адресу: г. Котельники, мкр. Ковровый, д.1-5,24-29 и ул. Новая, д.1-10",Документ,97fe2511-8,А,,4780-9/10/15-21-НК1,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
"Жилой комплекс, корпус №9 и корпус №10 с пристроенной поликлиникой для взрослого населения на 100 посещений в смену, корпус №15 по адресу: г. Котельники, мкр. Ковровый, д.1-5,24-29 и ул. Новая, д.1-10.",Документ,97fe2511-8,А,,4780-9/10/15-21-НВ,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
Вынос сетей канализации из пятна застройки корп. 11.12 мкр. Ковровый,Документ,97fe2511-8,А,,НК1,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
"Вынос сетей отопления и ГВС из пятна застройки корп. 11,12 мкр. Ковровый по временной схеме",Документ,97fe2511-8,А,,5780-11/12-21-ТС,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
"Торговый павильон ИП Бондарев, расположенный у а/остановки Ковровый комбинат(в сторону г. Люберцы)",Документ,97fe2511-8,А,,1010-22-НВ,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
"Поверочный расчет достаточности оборудования ЦТП аб.№213/004, по адресу: МО, г. Котельники, мкр. Ковровый, д. 37",Документ,97fe2511-8,А,,5758-ЦТП213/004-21-01,,Коробка 'Коробка 1А2' / Полка 2 / Стеллаж А,
Коробка 2А2,Коробка,,А,2,,,Коробка 'Коробка 2А2' / Полка 2 / Стеллаж А,
"Перекладка тепловой сети на участке от камеры №1308/11 до камеры №1313/9, расположенной по адресу: МО, г. Котельники, в районе пересечение ул. 3-й Покровский проезд и ул. Строителей. 1 этап строительства",Документ,56d60aef-1322-4d98-a76b-d9e7e15cf8a9,А,,5026-2А-22-ТС1,,Коробка 'Коробка 2А2' / Полка 2 / Стеллаж А,
"Перекладка тепловой сети на участке от камеры №1308/11 до камеры №1313/9, расположенной по адресу: МО, г. Котельники, в районе пересечение ул. 3-й Покровский проезд и ул. Строителей",Документ,56d60aef-1322-4d98-a76b-d9e7e15cf8a9,А,,5025-2А-22-ТС,,Коробка 'Коробка 2А2' / Полка 2 / Стеллаж А,
"Перекладка тепловой сети на участке от камеры №1308/11 до камеры №1313/9, расположенной по адресу: МО, г. Котельники, в районе пересечение ул. 3-й Покровский проезд и ул. Строителей. 2 этап строительства",Документ,56d60aef-1322-4d98-a76b-d9e7e15cf8a9,А,,5026-2А-22-ТС2,,Коробка 'Коробка 2А2' / Полка 2 / Стеллаж А,
"Перекладка тепловой сети на участке от камеры №1308/11 до камеры №1313/9, расположенной по адресу: МО, г. Котельники, в районе пересечение ул. 3-й Покровский проезд и ул. Строителей. 1 этап строительства.",Документ,56d60aef-1322-4d98-a76b-d9e7e15cf8a9,А,,5026-2А-22-ТС1,,Коробка 'Коробка 2А2' / Полка 2 / Стеллаж А,
Коробка 3А2,Коробка,,А,2,,,Коробка 'Коробка 3А2' / Полка 2 / Стеллаж А,
"Акт №1 о проведении гидростатического или манометрического испытания на герметичность трубопровод отопления Ду 100 мм в ППУ изоляции смонтированной в от ТК-1 на ж.д.№23-30 по адресу: МО, г.о. Котельники, мкр. Ковровый. Акты освидетельствования скрытых работ 1-16.",Папка,f4e3d766-ffdb-4e7f-acec-5bd03ba62761,А,,,,"Коробка 'Коробка 3А2' / Полка 2 / Стеллаж А / Папка 'Акт №1 о проведении гидростатического или манометрического испытания на герметичность трубопровод отопления Ду 100 мм в ППУ изоляции смонтированной в от ТК-1 на ж.д.№23-30 по адресу: МО, г.о. Котельники, мкр. Ковровый. Акты освидетельствования скрытых работ 1-16.'",
"Восстановление поврежденного участка канализационного коллектора Ду700мм на Дзержинском шоссе и канализационных колодцев на участке, напротив дома №13 на ул. Новая. шифр 265-2025-ИД",Папка,f4e3d766-ffdb-4e7f-acec-5bd03ba62761,А,,,,"Коробка 'Коробка 3А2' / Полка 2 / Стеллаж А / Папка 'Восстановление поврежденного участка канализационного коллектора Ду700мм на Дзержинском шоссе и канализационных колодцев на участке, напротив дома №13 на ул. Новая. шифр 265-2025-ИД'",
"Жилая застройка с комплексом социальных объектов, расположенная по адресу МО, г. Котельники, мкр. Белая Дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком. Жилые дома. Корпус 11,12 с наружными инженерными сетями жилой застройки.",Документ,f4e3d766-ffdb-4e7f-acec-5bd03ba62761,А,,5740-11/12-20-НВ,,Коробка 'Коробка 3А2' / Полка 2 / Стеллаж А,
"Жилая застройка с комплексом социальных объектов, расположенная по адресу МО, г. Котельники, мкр. Белая Дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком. Жилые дома. Корпус 11,12 с наружными инженерными сетями жилой застройки..",Документ,f4e3d766-ffdb-4e7f-acec-5bd03ba62761,А,,5740-11/12-20-НК2.1,,Коробка 'Коробка 3А2' / Полка 2 / Стеллаж А,
"Жилая застройка с комплексом социальных объектов, расположенная по адресу МО, г. Котельники, мкр. Белая Дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком. Жилые дома. Корпус 11,12 с наружными инженерными сетями жилой застройки",Документ,f4e3d766-ffdb-4e7f-acec-5bd03ba62761,А,,5740-11/12-20-НК1,,Коробка 'Коробка 3А2' / Полка 2 / Стеллаж А,
"Реконструкция комплекса водозаборного узла(далее ВЗУ) на земельном участке с кадастровым номером 50:22:0000000:1 ВЗУ-2 Белая Дача по адресу: МО, г. Котельники, мкр. Белая дача. 4714-ВЗУ-21-ЭОМ",Папка,,А,2,,,"Папка 'Реконструкция комплекса водозаборного узла(далее ВЗУ) на земельном участке с кадастровым номером 50:22:0000000:1 ВЗУ-2 Белая Дача по адресу: МО, г. Котельники, мкр. Белая дача. 4714-ВЗУ-21-ЭОМ' / Полка 2",
"Реконструкция комплекса водозаборного узла(далее ВЗУ) на земельном участке с кадастровым номером 50:22:0000000:1 ВЗУ-2 Белая Дача по адресу: МО, г. Котельники, мкр. Белая дача. 4714-ВЗУ-21-АСУТП",Папка,,А,2,,,"Папка 'Реконструкция комплекса водозаборного узла(далее ВЗУ) на земельном участке с кадастровым номером 50:22:0000000:1 ВЗУ-2 Белая Дача по адресу: МО, г. Котельники, мкр. Белая дача. 4714-ВЗУ-21-АСУТП' / Полка 2",
"Реконструкция комплекса водозаборного узла(далее ВЗУ) на земельном участке с кадастровым номером 50:22:0000000:1 ВЗУ-2 Белая Дача по адресу: МО, г. Котельники, мкр. Белая дача.",Документ,,А,2,4714-ВЗУ-21-ВН,,Полка 2,
"Реконструкция комплекса водозаборного узла(далее ВЗУ) на земельном участке с кадастровым номером 50:22:0000000:1 ВЗУ-2 Белая Дача по адресу: МО, г. Котельники, мкр. Белая дача",Документ,,А,2,4714-ВЗУ-21-ПС,,Полка 2,
"Реконструкция комплекса водозаборного узла(далее ВЗУ) на земельном участке с кадастровым номером 50:22:0000000:1 ВЗУ-2 Белая Дача по адресу: МО, г. Котельники, мкр. Белая дача..",Документ,,А,2,4714-ВЗУ-21-ОС,,Полка 2,
"Выполнение работ по капитальному ремонту участка трубопровода отопления 2Ду100мм от ТК2 до ввода в ж.д. 1 с заменой запорной арматуры по адресу: МО, г.о. Котельники, мкр. Опытное поле",Документ,,А,2,,,Полка 2,
